FID,Lat,Lng,Perception Safety,Rural/Urban,Q2 Enclosure,Q3 Human scale,Q4 Diversity/Complexity,Q5 Averall/Better
154,55.677831,12.551922,5.940327394,1,4.847758157,4.80116055,5.456011044,4.851560189
155,55.677744,12.552415,6.417396434,1,6.143085532,5.965061197,6.064643838,4.822352854
156,55.677653,12.552906,4.680306486,1,6.924642104,5.042118473,5.924671807,5.198720793
157,55.677565,12.553399,6.808578532,1,4.536734249,5.729304782,3.746885484,6.157571724
158,55.677478,12.553891,5.854470779,1,6.589637381,5.510283441,6.569716264,5.339766341
159,55.682458,12.539111,6.882129815,1,4.855751762,4.974539955,5.882829157,6.328009465
160,55.682376,12.539599,6.234941613,1,3.670154785,4.110426857,4.456716615,4.767820172
161,55.68225,12.540083,7.312804335,1,5.044328174,6.312892883,6.195258318,6.215616681
162,55.682122,12.540566,4.750868183,1,3.261027542,3.72225502,4.877865858,4.90295031
163,55.681993,12.541049,4.599932538,1,2.666593997,3.545311812,4.992815191,4.109176279
164,55.681862,12.541532,7.84522542,1,6.772036916,5.866149806,4.420957347,5.733325939
165,55.681741,12.542017,7.985143272,1,6.934452438,6.393400544,5.797018531,5.874371488
166,55.681619,12.542502,8.173237468,1,5.884746748,5.878848867,5.300514599,5.706706596
167,55.681498,12.542987,7.767858428,1,6.149625754,6.061190485,5.789538598,6.315808932
168,55.681377,12.543472,6.066955814,1,4.783809316,5.132817632,6.096472013,5.016452233
169,55.681255,12.543957,5.774201163,1,3.446697188,3.623175421,3.60446392,4.968944099
170,55.68114,12.544443,6.063557567,1,5.085022891,5.583876289,5.41768199,4.768374741
171,55.681025,12.54493,6.709919526,1,3.436523508,4.937466379,5.738738063,4.766895889
172,55.680905,12.545415,6.567179117,1,4.886636146,5.442251204,6.101516145,5.541814552
173,55.680783,12.5459,6.669572802,1,5.53411816,6.273519375,6.016640273,5.877144336
174,55.680548,12.546872,7.367213498,1,4.994186469,4.950272873,6.402697899,5.214433599
175,55.68044,12.547361,7.354494415,1,6.643412543,6.091027116,6.689496202,5.096864833
176,55.680332,12.547849,6.158798932,1,5.829518204,5.714997018,6.039288803,5.47545105
177,55.680224,12.548337,6.534923712,1,3.541530412,4.361905125,6.479619532,4.709035788
178,55.67706,12.553938,7.789095337,1,4.687522709,5.736929134,4.941420523,6.672951789
179,55.677005,12.554435,7.789095337,1,4.687522709,5.736929134,4.941420523,6.672951789
180,55.674445,12.550042,6.362344308,1,6.064239517,5.190107188,6.299219842,5.499112689
181,55.674851,12.550334,7.783527774,1,5.302303612,5.124108175,7.461836747,5.141415262
182,55.675257,12.550626,7.822271123,1,6.304047671,6.408295796,5.442920017,6.481810115
183,55.675663,12.550918,7.705879722,1,6.059516023,6.331542734,6.312346842,5.641452233
184,55.676069,12.55121,6.604747152,1,7.157183344,6.61022949,6.378308956,5.286897368
185,55.676482,12.55149,7.240845257,1,6.415958143,4.13017182,6.632107864,5.043441289
186,55.676749,12.551314,7.567223322,1,6.706998038,5.889031862,5.242026226,5.658828749
187,55.674244,12.550944,6.049106036,1,5.795363709,6.305490728,5.843271935,4.816437445
188,55.674649,12.551237,6.777510161,1,6.717898409,6.581710184,5.184177814,4.666518781
189,55.675055,12.551529,7.530236057,1,7.184070925,6.325808745,6.935447866,5.214248743
190,55.675461,12.551821,7.790882332,1,6.600901097,6.846855233,6.108772927,5.19724194
191,55.675866,12.552113,8.238963432,1,5.884020057,5.609445963,5.317396288,6.611394558
192,55.681691,12.553456,4.73860962,1,3.315529395,3.432264321,6.368489724,5.383577344
193,55.681279,12.553172,7.223518041,1,5.005813531,5.077136888,5.374115132,6.345201124
194,55.680867,12.552889,6.892763747,1,5.058862001,5.149782433,5.084168218,5.764012127
195,55.680456,12.552605,6.843987389,1,5.55264879,5.300336751,5.67189422,6.506396037
196,55.680092,12.552267,7.247388838,1,5.121720805,5.865972359,5.859157668,6.868899734
197,55.679752,12.551902,6.893467957,1,3.897609185,5.168000439,5.575465589,4.692028985
198,55.67935,12.551604,6.835485178,1,5.87529976,4.926594101,5.757341867,5.217021591
199,55.678944,12.551313,6.910595494,1,6.843252671,5.827896856,7.566859114,5.496709553
200,55.678534,12.551027,6.697446753,1,6.366906475,5.554834782,5.774727899,5.296879621
201,55.680105,12.550661,7.317210661,1,6.378170191,6.26897039,5.004276935,5.281351671
